"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACAP3",4.64943502164594,-0.000120461115751134,0.248690080237573,-0.000484382471693517,0.999613518719425,0.999976031641321
"PUSL1",0.112876945507567,0.308623970082616,1.89657561030095,0.162726952938957,0.870733424464148,0.990512677498131
"CPSF3L",2.90999568998486,0.18925069013855,0.259825638013907,0.72837573530146,0.466383612635136,0.990512677498131
"CPTP",0.971365679963986,-0.00752983114252781,0.517663443482622,-0.014545804300706,0.988394536573593,0.999090836410263
"TAS1R3",0.0419596734878129,0.836673325269584,3.02830385476135,0.27628446992005,0.782329583082871,0.990512677498131
"DVL1",0.890688794232763,0.141857289602214,0.375856072908388,0.377424497905588,0.705858164067063,0.990512677498131
"MXRA8",0.0230864944945268,0.853914300480099,3.02810934231623,0.281995860766022,0.777946684191194,0.990512677498131
"AURKAIP1",1.32642989058147,0.0906016867371126,0.376745883148365,0.240484875322269,0.809954387027196,0.990512677498131
"CCNL2",2.71200624803262,-0.0695651328128068,0.20137476813422,-0.345451088323242,0.729755275339403,0.990512677498131
"MRPL20",2.15555509410305,-0.0195160359994973,0.313140977843903,-0.0623234816914502,0.950305229137187,0.994603287528664
"ANKRD65",0.294284591438026,0.479904037910665,0.711415958696034,0.674575868090292,0.499945269091085,0.990512677498131
"TMEM88B",0,NA,NA,NA,NA,NA
"VWA1",0.341906327102934,0.405571571696492,0.590043901521976,0.687358297662851,0.491856970080698,0.990512677498131
"ATAD3C",0.0896284140180625,0.302854472172159,2.92966519456288,0.103375113557079,0.917665262816196,0.991099943828043
