"","gene","entrez_id","cluster","adapted_cluster_name","pct.1","pct.2","avg_logFC","MAST_p_val","MAST_p_val_adj","roc_myAUC","roc_power"
"782","MYL9",10398,"Peri_MUSTN1","Peri_MUSTN1",0.375,0.01,4.19863074372574,2.60043286536306e-33,1.3075236490332e-28,0.684,0.368
"783","MYO1E",4643,"Oligo","Oligo",0.862,0.525,2.57445226350004,0,0,0.832,0.664
"784","MYO1F",4542,"Micro_C1QC","Microglia",0.783,0.482,3.6033243760288,0,0,0.784,0.568
"785","MYO3B",140469,"VLMC_CYP1B1","VLMC_CYP1B1",0.818,0.633,2.98384354714638,0.000612425330749608,1,0.705,0.41
"786","MYO5B",4645,"Inh_PVALB","PVALB",0.917,0.328,3.09432006214928,0,0,0.924,0.848
"787","MYO5C",55930,"Endo_CLDN5","Endothelial",0.471,0.297,2.5225933745787,1.22777572536513e-10,6.1733791247084e-06,0.622,0.244
"788","MYOF",26509,"Micro_C1QC","Microglia",0.68,0.439,3.53395966896389,0,0,0.72,0.44
"789","MYRF",745,"Oligo","Oligo",0.892,0.073,5.12132266177334,0,0,0.939,0.878
"790","MYT1",4661,"OPC_MYT1","OPC",0.752,0.128,3.77328703258212,0,0,0.846,0.692
"791","NAIP",4671,"Micro_C1QC","Microglia",0.456,0.36,2.66026872675086,9.88592252497492e-142,4.97074070478264e-137,0.592,0.184
"792","NCAN",1463,"Astro_FGFR3","Astrocyte",0.952,0.459,3.13062740098624,0,0,0.925,0.85
