"","subclass","term","estimate","std.error","statistic","p.value","dataset","mapping","filtering","class"
"171","L2/3 IT","factor(msex)1",0.520388304305158,0.603886419841659,0.861732086046256,0.407228069607369,"Zhou","M1","Filtered","Glutamatergic"
"172","L2/3 IT","factor(msex)1",-0.346836844827676,0.561799976596929,-0.617367140042653,0.564019927348744,"Cain","M1","Filtered","Glutamatergic"
"173","L2/3 IT","(Intercept)",1.31416117623239,0.610136711366674,2.15387986290604,0.083832834807278,"Cain","M1","Filtered","Glutamatergic"
"174","L2/3 IT","(Intercept)",0.190969880979724,0.445162697262386,0.428988956518886,0.676212126777546,"Zhou","M1","Unfiltered","Glutamatergic"
"175","L2/3 IT","factor(msex)1",0.366775800522078,0.435382687394168,0.842421646844268,0.409513428578447,"Mathys","M1","Filtered","Glutamatergic"
"176","L2/3 IT","scale(pmi)",-0.245508425045748,0.309342613980513,-0.793645666488141,0.444185068365536,"Zhou","M1","Unfiltered","Glutamatergic"
"177","L2/3 IT","scale(age_death)",0.478655374302551,0.460859417316886,1.0386147191898,0.346577807816263,"Cain","M1","Unfiltered","Glutamatergic"
"178","L2/3 IT","(Intercept)",1.31075705511724,0.644571769284041,2.03353159039708,0.0976705142511447,"Cain","M1","Unfiltered","Glutamatergic"
"179","L2/3 IT","scale(age_death)",0.860849916479122,0.436238852961891,1.97334536030958,0.105471760671669,"Cain","M1","Filtered","Glutamatergic"
"180","L2/3 IT","scale(age_death)",-0.0928943290129052,0.292228246543596,-0.317882785499473,0.756526922091201,"Zhou","M1","Filtered","Glutamatergic"
"181","L5 ET","(Intercept)",0.70525622602987,0.861245950398156,0.818879003963767,0.450107793511353,"Cain","M1","Filtered","Glutamatergic"
"182","L5 ET","scale(age_death)",0.0839095763366649,0.615778297749364,0.136265887647145,0.896927608474694,"Cain","M1","Filtered","Glutamatergic"
"183","L5 ET","scale(pmi)",0.361562111378708,0.482581765033298,0.749224561673523,0.487451955934921,"Cain","M1","Filtered","Glutamatergic"
"184","L5 ET","LOADAD",-0.493462375363524,1.28087986719795,-0.385252659519914,0.715894542356563,"Cain","M1","Filtered","Glutamatergic"
"185","L5 ET","(Intercept)",0.717546986741866,0.863643163767147,0.830837337508675,0.443916096128271,"Cain","M1","Unfiltered","Glutamatergic"
