"","subclass","term","estimate","std.error","statistic","p.value","dataset","class"
"18","Ast3","factor(msex)1",0.487078911172501,0.339467703240277,1.43483137430527,0.166788790196295,"Mathys","Ast"
"19","Ast3","scale(pmi)",0.601258993686644,0.173559473426449,3.4642821957019,0.00244940525487699,"Mathys","Ast"
"20","Ast3","LOADAD",0.056264724336295,0.364569308705233,0.154332037812286,0.878894699344707,"Mathys","Ast"
"21","Astr.1","(Intercept)",0.134113892066608,0.795764147752308,0.168534725327124,0.872768138655911,"Cain","Astr"
"22","Astr.1","scale(age_death)",0.301466140466855,0.56895976356853,0.52985493838097,0.618887923427152,"Cain","Astr"
"23","Astr.1","factor(msex)1",-0.225245489490598,0.732721488898005,-0.307409422138501,0.770923896572711,"Cain","Astr"
"24","Astr.1","scale(pmi)",0.506744997316468,0.445890360117215,1.1364789254095,0.307273507439498,"Cain","Astr"
"25","Astr.1","LOADAD",-0.0429822946426187,1.18349267758258,-0.0363181753945576,0.97243402689059,"Cain","Astr"
"26","Astr.2","(Intercept)",0.364243361943869,0.82577924601832,0.441090477509759,0.677567668337602,"Cain","Astr"
"27","Astr.2","scale(age_death)",-0.410599032701331,0.590420121214892,-0.695435365340281,0.517771475591277,"Cain","Astr"
"28","Astr.2","factor(msex)1",-1.07963071725507,0.760358707228351,-1.41989656591232,0.214870255295185,"Cain","Astr"
"29","Astr.2","scale(pmi)",0.0176905324124028,0.462708713912857,0.0382325464822227,0.9709818220112,"Cain","Astr"
"30","Astr.2","LOADAD",0.351143993367328,1.22813234765955,0.28591706263295,0.786408704999265,"Cain","Astr"
"31","Astr.3","(Intercept)",-0.421961302736814,0.40570587862379,-1.04006701645085,0.345964653913723,"Cain","Astr"
"32","Astr.3","scale(age_death)",0.17741579329164,0.290073788109392,0.611622975133255,0.567525298245511,"Cain","Astr"
"33","Astr.3","factor(msex)1",1.17392573657313,0.373564725527727,3.14249621645819,0.0255942728248799,"Cain","Astr"
"34","Astr.3","scale(pmi)",-0.711525291173353,0.227329090952638,-3.12993505666898,0.0259593388397462,"Cain","Astr"
"35","Astr.3","LOADAD",-0.330003131099497,0.603382218160593,-0.546922201495281,0.607945807731141,"Cain","Astr"
"36","Astr.4","(Intercept)",-0.427234119791895,0.68854002625712,-0.620492786910769,0.562118312460153,"Cain","Astr"
"37","Astr.4","scale(age_death)",-0.568240514377068,0.492296080004673,-1.15426577106134,0.300560754566393,"Cain","Astr"
"38","Astr.4","factor(msex)1",-0.811774263826022,0.633991961852023,-1.28041728077224,0.256578663470529,"Cain","Astr"
