"","gene","entrez_id","ensembl_id","subclass","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"496","COL25A1",84570,"ENSG00000188517","SST",0.31,0.063,2.53264446271752,0.858,0.716,0,0
"497","COL25A1",84570,"ENSG00000188517","LAMP5",0.29,0.066,1.76659864458131,0.601,0.202,6.27633788099119e-121,1.12509632854648e-116
"498","COL26A1",136227,"ENSG00000160963","IT",0.374,0.057,1.55815393222649,0.678,0.356,0,0
"499","COL27A1",85301,"ENSG00000196739","Astrocyte",0.156,0.053,1.86250098327534,0.554,0.108,1.63655404868756e-225,2.93368678767732e-221
"500","COL4A1",1282,"ENSG00000187498","LAMP5",0.166,0.034,1.72186744713649,0.57,0.14,2.98721645735629e-68,5.35488422145689e-64
"501","COL4A2",1284,"ENSG00000134871","LAMP5",0.306,0.066,1.77181910077193,0.615,0.23,2.93582274580552e-133,5.26275585413098e-129
"502","COL4A2",1284,"ENSG00000134871","PVALB",0.218,0.063,1.47347986565961,0.569,0.138,6.75906322957258e-189,1.21162967453318e-184
"503","COL4A3",1285,"ENSG00000169031","LAMP5",0.156,0.041,1.45949889937814,0.56,0.12,2.8691467919199e-49,5.14323253919562e-45
"504","COL4A5",1287,"ENSG00000188153","Oligodendrocyte",0.398,0.025,3.77184981492496,0.779,0.558,0,0
"505","COL5A2",1290,"ENSG00000204262","IT",0.228,0.032,1.46416313041439,0.656,0.312,0,0
"506","COL5A3",50509,"ENSG00000080573","Astrocyte",0.644,0.051,4.15486550573063,0.827,0.654,0,0
"507","COL6A1",1291,"ENSG00000142156","Pericyte",0.156,0.11,1.48791038442777,0.537,0.0740000000000001,3.55323417455854e-26,6.36952758131364e-22
"508","COL6A2",1292,"ENSG00000142173","Pericyte",0.177,0.004,4.44363923394251,0.602,0.204,2.03641308352782e-78,3.65047409353196e-74
"509","COL8A1",1295,"ENSG00000144810","L5.6.NP",0.167,0.009,2.79108717841746,0.623,0.246,4.27624679005127e-64,7.66559999584591e-60
"510","COL9A1",1297,"ENSG00000112280","L5.6.NP",0.241,0.025,1.422589656735,0.648,0.296,8.2003620680412e-82,1.46999690431707e-77
"511","COL9A1",1297,"ENSG00000112280","OPC",0.469,0.009,4.37508876784986,0.911,0.822,0,0
"512","COLEC12",81035,"ENSG00000158270","Astrocyte",0.267,0.018,2.85019982727745,0.706,0.412,0,0
"513","COLEC12",81035,"ENSG00000158270","Pericyte",0.354,0.028,3.5985211482995,0.647,0.294,1.50236779257926e-111,2.69314450497758e-107
"514","COLGALT2",23127,"ENSG00000198756","Oligodendrocyte",0.321,0.221,1.78120475185889,0.592,0.184,0,0
"515","CPE",1363,"ENSG00000109472","Astrocyte",0.77,0.37,1.89789577202816,0.626,0.252,0,0
"516","CPED1",79974,"ENSG00000106034","Microglia",0.27,0.022,4.06787874541279,0.645,0.29,0,0
"517","CPLX1",10815,"ENSG00000168993","PVALB",0.622,0.196,1.82253920710626,0.703,0.406,0,0
"518","CPLX2",10814,"ENSG00000145920","IT",0.463,0.102,1.33502373280586,0.605,0.21,0,0
"519","CPLX3",594855,"ENSG00000213578","LAMP5",0.268,0.005,3.82842068078902,0.928,0.856,0,0
"520","CPM",1368,"ENSG00000135678","Oligodendrocyte",0.248,0.035,2.68243650070352,0.676,0.352,0,0
"521","CPNE4",131034,"ENSG00000196353","IT",0.494,0.067,1.86751958325449,0.752,0.504,0,0
"522","CPNE4",131034,"ENSG00000196353","L5.6.NP",0.771,0.263,1.67076566929183,0.77,0.54,1.04081178567686e-154,1.86575920700434e-150
"523","CPNE5",57699,"ENSG00000124772","IT",0.356,0.054,1.51430241987317,0.667,0.334,0,0
"524","CPNE6",9362,"ENSG00000100884, ENSG00000285221","LAMP5",0.207,0.057,1.30064990102916,0.569,0.138,3.84644240105411e-62,6.8951326481296e-58
"525","CPNE7",27132,"ENSG00000178773","L5.6.NP",0.229,0.044,1.75746632491382,0.588,0.176,1.36004703365721e-41,2.43802031253391e-37
"526","CPNE9",151835,"ENSG00000144550","IT",0.185,0.023,1.42354033196187,0.639,0.278,0,0
"527","CPOX",1371,"ENSG00000080819","Oligodendrocyte",0.164,0.144,1.55219126312888,0.569,0.138,0,0
"528","CPQ",10404,"ENSG00000104324","Oligodendrocyte",0.294,0.161,1.76781304002641,0.589,0.178,0,0
"529","CRB1",23418,"ENSG00000134376","Astrocyte",0.555,0.138,2.12717451221546,0.644,0.288,0,0
"530","CRB1",23418,"ENSG00000134376","OPC",0.456,0.146,1.36787495989906,0.607,0.214,0,0
"531","CRB2",286204,"ENSG00000148204","Astrocyte",0.182,0.02,2.11613045948065,0.643,0.286,0,0
"532","CREB5",9586,"ENSG00000146592","Oligodendrocyte",0.621,0.141,2.97551831708382,0.703,0.406,0,0
"533","CREG2",200407,"ENSG00000175874","IT",0.571,0.101,1.68194689520037,0.715,0.43,0,0
"534","CREM",1390,"ENSG00000095794","Pericyte",0.208,0.136,1.53499354283272,0.552,0.104,3.77417418559884e-33,6.76558464510448e-29
"535","CREM",1390,"ENSG00000095794","OPC",0.351,0.128,1.6439893285157,0.651,0.302,0,0
