"","gene","entrez_id","ensembl_id","class","pct.1","pct.2","avg_logFC","roc_myAUC","roc_power","MAST_p_val","MAST_p_val_adj"
"223","LYN",4067,"ENSG00000254087","Non-neuronal",0.526,0.455,3.90104825904354,0.612,0.224,0,0
"224","LYPD8",646627,"ENSG00000259823","Glutamatergic",0.586,0.072,3.14866299102848,0.774,0.548,0,0
"225","MAG",4099,"ENSG00000105695","Non-neuronal",0.413,0.158,4.66358922313879,0.656,0.312,0,0
"226","MAL",4118,"ENSG00000172005","Non-neuronal",0.427,0.08,4.71634281003297,0.688,0.376,0,0
"227","MAML2",84441,"ENSG00000184384","Non-neuronal",0.876,0.565,3.47320660175121,0.858,0.716,0,0
"228","MBP",4155,"ENSG00000197971","Non-neuronal",0.713,0.715,3.52209647684886,0.649,0.298,0,0
"229","MCHR2",84539,"ENSG00000152034","Glutamatergic",0.863,0.273,4.08309803996521,0.895,0.79,0,0
"230","MECOM",2122,"ENSG00000085276","Non-neuronal",0.391,0.495,3.25630192286589,0.487,0.026,3.30933944333103e-185,1.66396896550127e-180
"231","MEGF10",84466,"ENSG00000145794","Non-neuronal",0.629,0.309,3.07367696512282,0.729,0.458,0,0
"232","MEIS1",4211,"ENSG00000143995","Non-neuronal",0.459,0.475,2.51097943614336,0.564,0.128,0,0
"233","MERTK",10461,"ENSG00000153208","Non-neuronal",0.537,0.505,2.641366980853,0.587,0.174,0,0
